|id|id_3char|name
202|namaf|maf|Saint Maarten
203|namex|mex|Mexico
204|namsr|msr|Montserrat
205|namtq|mtq|Martinique
206|nanaa|naa|Netherland Antilles and Aruba
207|nanic|nic|Nicaragua
208|napan|pan|Panama
209|napci|pci|Pacific Island (US)
210|napcz|pcz|Panama Canal Zone
211|napri|pri|Puerto Rico
212|naslv|slv|El Salvador
213|naspm|spm|Saint Pierre and Miquelon
214|natca|tca|Turks and Caicos Islands
215|natto|tto|Trinidad and Tobago
216|naumi|umi|United States Minor Outlying Islands
217|nausa|usa|United States
218|navct|vct|Saint Vincent and the Grenadines
219|navgb|vgb|British Virgin Islands
220|navir|vir|Virgin Islands
221|ocasm|asm|American Samoa
222|ocaus|aus|Australia
223|occok|cok|Cook Islands
224|ocfji|fji|Fiji
225|ocfsm|fsm|Micronesia
226|ocglp|glp|Guadeloupe
227|ocgum|gum|Guam
228|ockir|kir|Kiribati
229|ocmhl|mhl|Marshall Islands
230|ocmnp|mnp|Northern Mariana Islands
231|ocncl|ncl|New Caledonia
232|ocnfk|nfk|Norfolk Island
233|ocniu|niu|Niue
234|ocnru|nru|Nauru
235|ocnzl|nzl|New Zealand
236|ocpcn|pcn|Pitcairn Islands
237|ocplw|plw|Palau
238|ocpng|png|Papua New Guinea
239|ocpyf|pyf|French Polynesia
240|ocslb|slb|Solomon Islands
241|octkl|tkl|Tokelau
242|octon|ton|Tonga
243|octuv|tuv|Tuvalu
244|ocvut|vut|Vanuatu
245|ocwlf|wlf|Wallis and Futuna
246|ocwsm|wsm|Samoa
247|saarg|arg|Argentina
248|sabol|bol|Bolivia
249|sabra|bra|Brazil
250|sachl|chl|Chile
251|sacol|col|Colombia
252|saecu|ecu|Ecuador
253|saflk|flk|Falkland Islands
254|saguf|guf|French Guiana
255|saguy|guy|Guyana
256|saper|per|Peru
257|sapry|pry|Paraguay
258|sasur|sur|Suriname
259|saury|ury|Uruguay
260|saven|ven|Venezuela
261|xxwld|wld|World
262|xxxxh|xxa|Areas
